,accuracy,n_trials,subject,model,fold,session,condition
0,0.8,3,A05,XDAWNCov-TS-LogReg,4,3,S
0,0.8,4,A05,XDAWNCov-TS-LogReg,4,3,S
0,1.0,5,A05,XDAWNCov-TS-LogReg,4,3,S
0,1.0,6,A05,XDAWNCov-TS-LogReg,4,3,S
0,1.0,7,A05,XDAWNCov-TS-LogReg,4,3,S
0,1.0,8,A05,XDAWNCov-TS-LogReg,4,3,S
0,0.4,1,A05,XDAWNCov-TS-LogReg,5,3,S
0,0.8,2,A05,XDAWNCov-TS-LogReg,5,3,S
0,0.8,3,A05,XDAWNCov-TS-LogReg,5,3,S
0,0.6,4,A05,XDAWNCov-TS-LogReg,5,3,S
0,0.6,5,A05,XDAWNCov-TS-LogReg,5,3,S
0,0.8,6,A05,XDAWNCov-TS-LogReg,5,3,S
