,index,roc_auc,model,fold,subject,train_cond,test_cond
171,0,0.8540305010893247,Riemann,4,A02,split/3,split/2
172,0,0.858,Riemann,4,A02,split/3,split/3
173,0,0.8038194444444444,Riemann,4,A02,split/3,mix
174,0,0.5606469002695418,Riemann,5,A02,split/3,overt
175,0,0.9151785714285714,Riemann,5,A02,split/3,covert
176,0,0.7970540098199672,Riemann,5,A02,split/3,split/1
177,0,0.8919803600654664,Riemann,5,A02,split/3,split/2
178,0,0.8480000000000001,Riemann,5,A02,split/3,split/3
179,0,0.8235294117647058,Riemann,5,A02,split/3,mix
180,0,0.49,Riemann,0,A02,mix,overt
181,0,0.8436657681940701,Riemann,0,A02,mix,covert
182,0,0.8126361655773421,Riemann,0,A02,mix,split/1
183,0,0.8812615955473099,Riemann,0,A02,mix,split/2
184,0,0.7577639751552795,Riemann,0,A02,mix,split/3
185,0,0.8888888888888888,Riemann,0,A02,mix,mix
186,0,0.7725040916530278,Riemann,1,A02,mix,overt
187,0,0.8663194444444444,Riemann,1,A02,mix,covert
188,0,0.8181818181818182,Riemann,1,A02,mix,split/1
189,0,0.8906249999999999,Riemann,1,A02,mix,split/2
190,0,0.9433962264150944,Riemann,1,A02,mix,split/3
191,0,0.7995642701525054,Riemann,1,A02,mix,mix
192,0,0.9035250463821893,Riemann,2,A02,mix,overt
193,0,0.7083333333333334,Riemann,2,A02,mix,covert
194,0,0.8274932614555256,Riemann,2,A02,mix,split/1
195,0,0.6981132075471698,Riemann,2,A02,mix,split/2
196,0,0.8474945533769063,Riemann,2,A02,mix,split/3
197,0,0.7320261437908496,Riemann,2,A02,mix,mix
198,0,0.8840970350404314,Riemann,3,A02,mix,overt
199,0,0.7625231910946197,Riemann,3,A02,mix,covert
200,0,0.786,Riemann,3,A02,mix,split/1
201,0,0.8126159554730983,Riemann,3,A02,mix,split/2
202,0,0.78,Riemann,3,A02,mix,split/3
203,0,0.7799564270152505,Riemann,3,A02,mix,mix
204,0,0.7160493827160493,Riemann,4,A02,mix,overt
205,0,0.8814016172506739,Riemann,4,A02,mix,covert
206,0,0.9,Riemann,4,A02,mix,split/1
207,0,0.7625272331154684,Riemann,4,A02,mix,split/2
208,0,0.8076923076923077,Riemann,4,A02,mix,split/3
209,0,0.8300653594771241,Riemann,4,A02,mix,mix
