,dataset,condition,label,evoked,subject,evoked_path
34,CVSA-ERP,split ($d=2$),non-target,"<Evoked | 'non-target' (average, N=463), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A18,evokeds/CVSA-ERP/A18_split ($d=2$)_non-target.fif
35,CVSA-ERP,split ($d=2$),distractor,"<Evoked | 'non-target' (average, N=117), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A18,evokeds/CVSA-ERP/A18_split ($d=2$)_distractor.fif
36,CVSA-ERP,split ($d=3$),target,"<Evoked | 'target' (average, N=59), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A18,evokeds/CVSA-ERP/A18_split ($d=3$)_target.fif
37,CVSA-ERP,split ($d=3$),non-target,"<Evoked | 'non-target' (average, N=238), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A18,evokeds/CVSA-ERP/A18_split ($d=3$)_non-target.fif
38,CVSA-ERP,split ($d=3$),distractor,"<Evoked | 'non-target' (average, N=60), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A18,evokeds/CVSA-ERP/A18_split ($d=3$)_distractor.fif
39,CVSA-ERP,overt,non-target,"<Evoked | 'non-target' (average, N=250), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A06,evokeds/CVSA-ERP/A06_overt_non-target.fif
40,CVSA-ERP,overt,target,"<Evoked | 'target' (average, N=50), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A06,evokeds/CVSA-ERP/A06_overt_target.fif
41,CVSA-ERP,covert,non-target,"<Evoked | 'non-target' (average, N=300), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A06,evokeds/CVSA-ERP/A06_covert_non-target.fif
42,CVSA-ERP,covert,target,"<Evoked | 'target' (average, N=60), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A06,evokeds/CVSA-ERP/A06_covert_target.fif
43,CVSA-ERP,split ($d=1$),non-target,"<Evoked | 'non-target' (average, N=461), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A06,evokeds/CVSA-ERP/A06_split ($d=1$)_non-target.fif
44,CVSA-ERP,split ($d=1$),distractor,"<Evoked | 'non-target' (average, N=115), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A06,evokeds/CVSA-ERP/A06_split ($d=1$)_distractor.fif
45,CVSA-ERP,split ($d=1$),target,"<Evoked | 'target' (average, N=113), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A06,evokeds/CVSA-ERP/A06_split ($d=1$)_target.fif
46,CVSA-ERP,split ($d=2$),non-target,"<Evoked | 'non-target' (average, N=478), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A06,evokeds/CVSA-ERP/A06_split ($d=2$)_non-target.fif
47,CVSA-ERP,split ($d=2$),distractor,"<Evoked | 'non-target' (average, N=120), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A06,evokeds/CVSA-ERP/A06_split ($d=2$)_distractor.fif
48,CVSA-ERP,split ($d=2$),target,"<Evoked | 'target' (average, N=120), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A06,evokeds/CVSA-ERP/A06_split ($d=2$)_target.fif
49,CVSA-ERP,split ($d=3$),target,"<Evoked | 'target' (average, N=51), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A06,evokeds/CVSA-ERP/A06_split ($d=3$)_target.fif
50,CVSA-ERP,split ($d=3$),non-target,"<Evoked | 'non-target' (average, N=209), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A06,evokeds/CVSA-ERP/A06_split ($d=3$)_non-target.fif
51,CVSA-ERP,split ($d=3$),distractor,"<Evoked | 'non-target' (average, N=51), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A06,evokeds/CVSA-ERP/A06_split ($d=3$)_distractor.fif
52,CVSA-ERP,overt,target,"<Evoked | 'target' (average, N=53), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A07,evokeds/CVSA-ERP/A07_overt_target.fif
53,CVSA-ERP,overt,non-target,"<Evoked | 'non-target' (average, N=287), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A07,evokeds/CVSA-ERP/A07_overt_non-target.fif
54,CVSA-ERP,covert,non-target,"<Evoked | 'non-target' (average, N=297), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A07,evokeds/CVSA-ERP/A07_covert_non-target.fif
55,CVSA-ERP,covert,target,"<Evoked | 'target' (average, N=58), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A07,evokeds/CVSA-ERP/A07_covert_target.fif
56,CVSA-ERP,split ($d=1$),target,"<Evoked | 'target' (average, N=116), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A07,evokeds/CVSA-ERP/A07_split ($d=1$)_target.fif
57,CVSA-ERP,split ($d=1$),non-target,"<Evoked | 'non-target' (average, N=462), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A07,evokeds/CVSA-ERP/A07_split ($d=1$)_non-target.fif
58,CVSA-ERP,split ($d=1$),distractor,"<Evoked | 'non-target' (average, N=118), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A07,evokeds/CVSA-ERP/A07_split ($d=1$)_distractor.fif
59,CVSA-ERP,split ($d=2$),non-target,"<Evoked | 'non-target' (average, N=453), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A07,evokeds/CVSA-ERP/A07_split ($d=2$)_non-target.fif
60,CVSA-ERP,split ($d=2$),target,"<Evoked | 'target' (average, N=114), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A07,evokeds/CVSA-ERP/A07_split ($d=2$)_target.fif
61,CVSA-ERP,split ($d=2$),distractor,"<Evoked | 'non-target' (average, N=118), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A07,evokeds/CVSA-ERP/A07_split ($d=2$)_distractor.fif
62,CVSA-ERP,split ($d=3$),target,"<Evoked | 'target' (average, N=57), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A07,evokeds/CVSA-ERP/A07_split ($d=3$)_target.fif
63,CVSA-ERP,split ($d=3$),non-target,"<Evoked | 'non-target' (average, N=237), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A07,evokeds/CVSA-ERP/A07_split ($d=3$)_non-target.fif
