,accuracy,n_trials,subject,condition,model,fold
0,0.9166666666666666,5,A06,S,CBLE,2
0,1.0,6,A06,S,CBLE,2
0,1.0,7,A06,S,CBLE,2
0,1.0,8,A06,S,CBLE,2
0,0.25,1,A06,S,wCBLE,0
0,0.8333333333333334,2,A06,S,wCBLE,0
0,0.9166666666666666,3,A06,S,wCBLE,0
0,0.9166666666666666,4,A06,S,wCBLE,0
0,0.9166666666666666,5,A06,S,wCBLE,0
0,1.0,6,A06,S,wCBLE,0
0,0.9166666666666666,7,A06,S,wCBLE,0
0,1.0,8,A06,S,wCBLE,0
0,0.75,1,A06,S,wCBLE,1
0,0.75,2,A06,S,wCBLE,1
0,0.8333333333333334,3,A06,S,wCBLE,1
0,1.0,4,A06,S,wCBLE,1
0,1.0,5,A06,S,wCBLE,1
0,1.0,6,A06,S,wCBLE,1
0,1.0,7,A06,S,wCBLE,1
0,1.0,8,A06,S,wCBLE,1
0,0.4166666666666667,1,A06,S,wCBLE,2
0,0.6666666666666666,2,A06,S,wCBLE,2
0,0.75,3,A06,S,wCBLE,2
0,0.8333333333333334,4,A06,S,wCBLE,2
0,0.9166666666666666,5,A06,S,wCBLE,2
0,0.9166666666666666,6,A06,S,wCBLE,2
0,1.0,7,A06,S,wCBLE,2
0,1.0,8,A06,S,wCBLE,2
0,0.4166666666666667,1,A06,S,tLDA,0
0,0.6666666666666666,2,A06,S,tLDA,0
0,0.9166666666666666,3,A06,S,tLDA,0
0,1.0,4,A06,S,tLDA,0
0,0.9166666666666666,5,A06,S,tLDA,0
0,1.0,6,A06,S,tLDA,0
0,1.0,7,A06,S,tLDA,0
0,1.0,8,A06,S,tLDA,0
0,0.6666666666666666,1,A06,S,tLDA,1
0,0.9166666666666666,2,A06,S,tLDA,1
0,0.9166666666666666,3,A06,S,tLDA,1
0,1.0,4,A06,S,tLDA,1
0,1.0,5,A06,S,tLDA,1
0,1.0,6,A06,S,tLDA,1
0,1.0,7,A06,S,tLDA,1
0,1.0,8,A06,S,tLDA,1
0,0.4166666666666667,1,A06,S,tLDA,2
0,0.6666666666666666,2,A06,S,tLDA,2
0,0.75,3,A06,S,tLDA,2
0,0.9166666666666666,4,A06,S,tLDA,2
0,1.0,5,A06,S,tLDA,2
0,1.0,6,A06,S,tLDA,2
0,1.0,7,A06,S,tLDA,2
0,1.0,8,A06,S,tLDA,2
0,0.16666666666666666,1,A06,G,CBLE,0
0,0.4166666666666667,2,A06,G,CBLE,0
