,time,actual,count,condition,subject
190,1708.59241604805,12,12,split/1,A02
191,1744.061429023743,10,10,covert,A02
192,1782.912693977356,10,10,overt,A02
193,1820.975681066513,11,10,overt,A02
194,1859.8545739650729,12,12,split/2,A02
195,1899.0009460449216,10,10,covert,A02
196,1936.4127070903776,12,12,overt,A02
197,2190.767049074173,11,11,split/2,A02
198,2231.363389968872,15,15,overt,A02
199,2272.136185884476,12,12,overt,A02
200,2312.9078710079198,15,15,split/1,A02
201,2353.213807106018,12,12,split/2,A02
202,2392.751683950424,10,10,split/2,A02
203,2434.20707988739,12,12,split/3,A02
204,2475.1375770568848,10,10,split/3,A02
205,2517.6865589618683,10,10,split/1,A02
206,2556.848490953445,15,15,split/3,A02
207,2596.194438934326,13,12,split/2,A02
208,2639.6035010814667,13,13,split/1,A02
209,2678.7642250061035,10,10,split/2,A02
210,1057.3798984000168,12,12,split/1,A13
211,1098.338905600016,15,15,overt,A13
212,1138.7338629000003,12,12,covert,A13
213,1177.8667118000158,13,13,split/3,A13
214,1217.6060572999995,14,14,split/1,A13
215,1255.982437300001,14,14,split/1,A13
216,1293.8295035000192,14,14,covert,A13
217,1333.485051800002,14,14,split/2,A13
218,1374.1854046000226,13,13,split/1,A13
219,1413.644839400018,13,13,split/2,A13
220,1452.3942495000083,12,12,split/3,A13
221,1489.0522745000198,14,14,overt,A13
222,1527.2918220000283,12,12,split/1,A13
223,1563.4533978000109,12,12,split/2,A13
224,1605.5785144000256,13,13,split/2,A13
225,1750.6001726000104,12,12,split/3,A13
226,1788.9337165000034,14,14,split/2,A13
227,1830.4279617000136,10,10,split/2,A13
228,1870.1113473000005,15,15,split/2,A13
229,1906.5509769000053,10,10,split/1,A13
230,1944.35338830002,13,13,covert,A13
231,1984.552009600011,10,10,split/1,A13
232,2020.909892100026,12,12,overt,A13
233,2057.591758800001,11,11,split/1,A13
234,2097.044090100011,15,15,covert,A13
235,2138.853086900024,12,12,split/2,A13
236,2176.2994317000266,15,14,overt,A13
237,2215.088489900023,14,14,split/1,A13
238,2257.256672900025,14,14,split/3,A13
239,2396.7960944000224,15,15,split/3,A13
240,2453.4972655000165,13,13,overt,A13
241,2488.999707900017,10,9,split/1,A13
242,2527.9860256000247,15,15,split/1,A13
243,2567.959056200023,12,12,split/3,A13
244,2607.3847122000006,13,12,split/2,A13
245,2642.536227100005,12,12,split/2,A13
246,2678.4764383000147,12,12,split/2,A13
247,2716.7831042000034,11,11,covert,A13
248,2753.839454300003,12,12,overt,A13
249,2790.617773100006,12,12,covert,A13
250,2828.240272200026,11,11,split/1,A13
251,2867.918741900008,11,11,split/2,A13
252,678.4622480869293,15,15,overt,A08
253,721.0026350021362,14,14,split/2,A08
254,760.1986291408539,15,15,split/3,A08
255,800.5537960529327,11,11,split/3,A08
256,838.8575091362,15,13,split/2,A08
257,874.9270009994507,10,10,covert,A08
258,911.0874609947203,11,11,split/1,A08
259,949.7500240802764,10,10,overt,A08
260,992.7821781635284,11,11,split/2,A08
261,1033.3952791690826,15,15,overt,A08
262,1072.5594639778135,10,9,split/1,A08
263,1114.9565181732178,13,13,overt,A08
264,1154.686156988144,10,9,split/2,A08
265,1197.9930720329285,15,15,split/2,A08
266,1235.814033985138,14,14,covert,A08
267,1300.3064560890198,13,12,split/1,A08
268,1340.7115869522097,13,13,split/1,A08
269,1383.0612561702728,15,15,split/3,A08
270,1421.4891860485077,12,12,covert,A08
271,1464.6812930107117,15,15,split/1,A08
272,1504.867338180542,11,11,split/1,A08
273,1544.7307291030884,10,10,split/1,A08
274,1586.778578042984,15,15,split/2,A08
275,1629.8019330501556,12,12,split/1,A08
276,1669.456941127777,13,13,covert,A08
277,1713.021665096283,13,13,split/2,A08
278,1751.3584439754486,12,12,overt,A08
279,1796.124135017395,11,10,covert,A08
280,1842.128664970398,14,14,split/1,A08
281,1970.172341108322,12,12,covert,A08
282,2010.1905751228333,10,10,split/2,A08
283,2051.9294941425323,14,12,split/2,A08
284,2088.9750080108643,10,10,split/2,A08
285,2129.838171958924,13,13,split/3,A08
286,2171.8530440330505,11,10,split/1,A08
287,2217.002361059189,14,14,split/3,A08
288,2262.477494955063,14,13,split/1,A08
289,2306.859251976013,15,16,split/2,A08
290,2345.163550138473,11,11,split/1,A08
291,2386.57750916481,15,15,split/2,A08
292,2423.3639380931854,10,10,overt,A08
293,2460.4915890693665,10,10,split/3,A08
294,3393.3117414,11,11,split/1,A17
295,3443.5117149,13,13,split/1,A17
296,3490.3918748,15,15,split/1,A17
