,fit_time,score_time,test_score,subject,session,task,acquisition,run,processing,space,recording,split,description,condition,pipeline
55,0.2922542095184326,0.010858535766601562,0.9289772727272727,PA01,01,cvsa,,,ica,,,,,free,WCBLE
56,0.2847414016723633,0.010761737823486328,0.6448863636363636,PA01,01,cvsa,,,ica,,,,,free,WCBLE
57,0.23649168014526367,0.01078486442565918,0.7493540051679586,PA01,01,cvsa,,,ica,,,,,free,WCBLE
58,0.31618547439575195,0.011387109756469727,0.640826873385013,PA01,01,cvsa,,,ica,,,,,free,WCBLE
59,0.3481156826019287,0.010558366775512695,0.5891472868217054,PA01,01,cvsa,,,ica,,,,,free,WCBLE
70,0.3647885322570801,0.010449647903442383,0.7958656330749354,PB01,01,cvsa,,,ica,,,,,overt,WCBLE
71,0.23753094673156738,0.01049351692199707,0.7777777777777778,PB01,01,cvsa,,,ica,,,,,overt,WCBLE
72,0.35173988342285156,0.010871648788452148,0.9689922480620154,PB01,01,cvsa,,,ica,,,,,overt,WCBLE
73,0.35384154319763184,0.010581254959106445,0.9198966408268734,PB01,01,cvsa,,,ica,,,,,overt,WCBLE
74,0.28687047958374023,0.01053309440612793,0.937984496124031,PB01,01,cvsa,,,ica,,,,,overt,WCBLE
75,0.2887289524078369,0.010608434677124023,0.9018087855297159,PB01,01,cvsa,,,ica,,,,,overt,WCBLE
76,0.2969226837158203,0.010890960693359375,0.8940568475452196,PB01,01,cvsa,,,ica,,,,,overt,WCBLE
77,0.24044561386108398,0.010593175888061523,0.8397932816537468,PB01,01,cvsa,,,ica,,,,,overt,WCBLE
78,0.3437385559082031,0.010926008224487305,0.962962962962963,PB01,01,cvsa,,,ica,,,,,overt,WCBLE
79,0.2467200756072998,0.010701417922973633,0.9497354497354498,PB01,01,cvsa,,,ica,,,,,overt,WCBLE
90,0.42780613899230957,0.011174678802490234,0.8313953488372093,PB01,01,cvsa,,,ica,,,,,covert,WCBLE
91,0.33607959747314453,0.010983705520629883,0.5755813953488372,PB01,01,cvsa,,,ica,,,,,covert,WCBLE
92,0.43842220306396484,0.011194705963134766,0.7238372093023255,PB01,01,cvsa,,,ica,,,,,covert,WCBLE
93,0.3924446105957031,0.010678768157958984,0.7589285714285714,PB01,01,cvsa,,,ica,,,,,covert,WCBLE
94,0.2874932289123535,0.0109710693359375,0.7619047619047619,PB01,01,cvsa,,,ica,,,,,covert,WCBLE
95,0.4328882694244385,0.010729789733886719,0.8898809523809523,PB01,01,cvsa,,,ica,,,,,covert,WCBLE
96,0.41202569007873535,0.011167764663696289,0.681547619047619,PB01,01,cvsa,,,ica,,,,,covert,WCBLE
97,0.28980422019958496,0.011091470718383789,0.7973421926910299,PB01,01,cvsa,,,ica,,,,,covert,WCBLE
98,0.3220515251159668,0.010781526565551758,0.7807308970099668,PB01,01,cvsa,,,ica,,,,,covert,WCBLE
99,0.4475691318511963,0.011288166046142578,0.6777408637873753,PB01,01,cvsa,,,ica,,,,,covert,WCBLE
110,0.2782094478607178,0.011418581008911133,0.9055555555555556,PB01,01,cvsa,,,ica,,,,,free,WCBLE
111,0.40195155143737793,0.011427879333496094,0.7277777777777777,PB01,01,cvsa,,,ica,,,,,free,WCBLE
112,0.4381711483001709,0.011096000671386719,0.9055555555555556,PB01,01,cvsa,,,ica,,,,,free,WCBLE
113,0.30344319343566895,0.011193513870239258,0.9194444444444445,PB01,01,cvsa,,,ica,,,,,free,WCBLE
114,0.2557713985443115,0.011507272720336914,0.9393939393939394,PB01,01,cvsa,,,ica,,,,,free,WCBLE
115,0.36297082901000977,0.012254476547241211,0.8661616161616161,PB01,01,cvsa,,,ica,,,,,free,WCBLE
116,0.36071252822875977,0.011511087417602539,0.9242424242424242,PB01,01,cvsa,,,ica,,,,,free,WCBLE
117,0.2596890926361084,0.011184215545654297,0.9722222222222222,PB01,01,cvsa,,,ica,,,,,free,WCBLE
118,0.2957730293273926,0.011568307876586914,0.9797979797979799,PB01,01,cvsa,,,ica,,,,,free,WCBLE
119,0.31693434715270996,0.011570215225219727,0.9166666666666666,PB01,01,cvsa,,,ica,,,,,free,WCBLE
130,0.3084561824798584,0.011504650115966797,0.6994949494949495,PB02,01,cvsa,,,ica,,,,,overt,WCBLE
131,0.41077542304992676,0.014446496963500977,0.6287878787878788,PB02,01,cvsa,,,ica,,,,,overt,WCBLE
132,0.41280698776245117,0.011714458465576172,0.8308080808080808,PB02,01,cvsa,,,ica,,,,,overt,WCBLE
133,0.2544090747833252,0.011501550674438477,0.9829545454545454,PB02,01,cvsa,,,ica,,,,,overt,WCBLE
134,0.3047311305999756,0.011471748352050781,0.8607954545454545,PB02,01,cvsa,,,ica,,,,,overt,WCBLE
