,fit_time,score_time,test_score,subject,session,task,acquisition,run,processing,space,recording,split,description,condition,pipeline
189,0.03012681007385254,0.004114627838134766,0.48295454545454547,PB03,01,cvsa,,,ica,,,,,overt,tLDA
200,0.032215118408203125,0.004243135452270508,0.711111111111111,PB03,01,cvsa,,,ica,,,,,covert,tLDA
201,0.04382467269897461,0.004387855529785156,0.471604938271605,PB03,01,cvsa,,,ica,,,,,covert,tLDA
202,0.06367826461791992,0.0045337677001953125,0.528395061728395,PB03,01,cvsa,,,ica,,,,,covert,tLDA
203,0.05743718147277832,0.0047245025634765625,0.7166666666666667,PB03,01,cvsa,,,ica,,,,,covert,tLDA
204,0.039855241775512695,0.0046689510345458984,0.6444444444444444,PB03,01,cvsa,,,ica,,,,,covert,tLDA
205,0.03442859649658203,0.007614612579345703,0.55,PB03,01,cvsa,,,ica,,,,,covert,tLDA
206,0.03639578819274902,0.004296302795410156,0.3194444444444444,PB03,01,cvsa,,,ica,,,,,covert,tLDA
207,0.03330683708190918,0.004243373870849609,0.6972222222222222,PB03,01,cvsa,,,ica,,,,,covert,tLDA
208,0.04014229774475098,0.004330158233642578,0.4015151515151515,PB03,01,cvsa,,,ica,,,,,covert,tLDA
209,0.036528587341308594,0.00447392463684082,0.5252525252525253,PB03,01,cvsa,,,ica,,,,,covert,tLDA
220,0.03519487380981445,0.00445866584777832,0.4949494949494949,PB03,01,cvsa,,,ica,,,,,free,tLDA
221,0.04171299934387207,0.004591464996337891,0.43434343434343436,PB03,01,cvsa,,,ica,,,,,free,tLDA
222,0.0420534610748291,0.004533529281616211,0.26767676767676774,PB03,01,cvsa,,,ica,,,,,free,tLDA
223,0.054593563079833984,0.005014181137084961,0.3409090909090909,PB03,01,cvsa,,,ica,,,,,free,tLDA
224,0.04816722869873047,0.004488468170166016,0.3838383838383838,PB03,01,cvsa,,,ica,,,,,free,tLDA
225,0.03781867027282715,0.005565643310546875,0.5303030303030303,PB03,01,cvsa,,,ica,,,,,free,tLDA
226,0.03850221633911133,0.004582643508911133,0.38131313131313127,PB03,01,cvsa,,,ica,,,,,free,tLDA
227,0.04098939895629883,0.0045855045318603516,0.6186868686868686,PB03,01,cvsa,,,ica,,,,,free,tLDA
228,0.03381228446960449,0.004404544830322266,0.3282828282828283,PB03,01,cvsa,,,ica,,,,,free,tLDA
229,0.03239178657531738,0.005051851272583008,0.5813953488372092,PB03,01,cvsa,,,ica,,,,,free,tLDA
240,0.025226593017578125,0.003689289093017578,0.8666666666666667,PB04,01,cvsa,,,ica,,,,,overt,tLDA
241,0.029962539672851562,0.003920078277587891,0.8722222222222221,PB04,01,cvsa,,,ica,,,,,overt,tLDA
242,0.028673171997070312,0.003960847854614258,0.8805555555555554,PB04,01,cvsa,,,ica,,,,,overt,tLDA
243,0.028365373611450195,0.0041844844818115234,0.7803030303030303,PB04,01,cvsa,,,ica,,,,,overt,tLDA
244,0.02872157096862793,0.004495143890380859,0.7878787878787878,PB04,01,cvsa,,,ica,,,,,overt,tLDA
245,0.049009084701538086,0.004230976104736328,0.7727272727272727,PB04,01,cvsa,,,ica,,,,,overt,tLDA
246,0.04075360298156738,0.004528522491455078,0.8358585858585859,PB04,01,cvsa,,,ica,,,,,overt,tLDA
247,0.029412031173706055,0.0047185420989990234,0.861111111111111,PB04,01,cvsa,,,ica,,,,,overt,tLDA
248,0.03136730194091797,0.004338502883911133,0.8434343434343434,PB04,01,cvsa,,,ica,,,,,overt,tLDA
249,0.029471635818481445,0.00429081916809082,0.8181818181818181,PB04,01,cvsa,,,ica,,,,,overt,tLDA
260,0.0317540168762207,0.004303455352783203,0.6793478260869565,PB04,01,cvsa,,,ica,,,,,covert,tLDA
261,0.04075455665588379,0.00437617301940918,0.5093167701863353,PB04,01,cvsa,,,ica,,,,,covert,tLDA
262,0.03203105926513672,0.0042994022369384766,0.5372670807453417,PB04,01,cvsa,,,ica,,,,,covert,tLDA
263,0.04193615913391113,0.00439763069152832,0.4361111111111111,PB04,01,cvsa,,,ica,,,,,covert,tLDA
264,0.04351663589477539,0.004366636276245117,0.5416666666666667,PB04,01,cvsa,,,ica,,,,,covert,tLDA
265,0.03340005874633789,0.005298137664794922,0.5444444444444444,PB04,01,cvsa,,,ica,,,,,covert,tLDA
266,0.039933204650878906,0.004607200622558594,0.37777777777777777,PB04,01,cvsa,,,ica,,,,,covert,tLDA
267,0.04292035102844238,0.004400014877319336,0.4,PB04,01,cvsa,,,ica,,,,,covert,tLDA
268,0.032152652740478516,0.004204273223876953,0.5555555555555556,PB04,01,cvsa,,,ica,,,,,covert,tLDA
269,0.0424046516418457,0.004461765289306641,0.6027777777777777,PB04,01,cvsa,,,ica,,,,,covert,tLDA
280,0.029474973678588867,0.004303693771362305,0.8039772727272727,PB04,01,cvsa,,,ica,,,,,free,tLDA
281,0.02893519401550293,0.004347085952758789,0.8892045454545454,PB04,01,cvsa,,,ica,,,,,free,tLDA
282,0.02943897247314453,0.004327535629272461,0.8920454545454546,PB04,01,cvsa,,,ica,,,,,free,tLDA
283,0.02928471565246582,0.004309415817260742,0.9276485788113695,PB04,01,cvsa,,,ica,,,,,free,tLDA
284,0.02936267852783203,0.004270792007446289,0.7906976744186046,PB04,01,cvsa,,,ica,,,,,free,tLDA
285,0.02892470359802246,0.0043752193450927734,0.8888888888888888,PB04,01,cvsa,,,ica,,,,,free,tLDA
286,0.028895854949951172,0.004342317581176758,0.7080103359173127,PB04,01,cvsa,,,ica,,,,,free,tLDA
