,index,block,rank,F_tr,F_rt,log_loss,mse,nmse,dataset,subject,session
30,0,1,"(8, 4, 8)",0.0003959275191358685,0.056880027349331515,0.3660543192357226,0.6672981304953846,0.6672981304953844,BNCI2014-001,2,1test
31,1,2,"(2, 2, 2)",0.00042857831670673965,0.06522338781465002,0.3279599570116869,0.6464490587540657,0.6464490587540656,BNCI2014-001,2,1test
32,2,3,"(8, 4, 8)",0.0004103509923996209,0.11002328243702576,0.1824305841788246,0.6070314715846827,0.6070314715846826,BNCI2014-001,2,1test
33,3,4,"(2, 2, 2)",0.0004283058708315381,0.12086895537554199,0.16495248181139685,0.6015947076433994,0.6015947076433993,BNCI2014-001,2,1test
34,4,5,"(16, 4, 16)",0.00021592610143666678,0.26537399060072014,0.01607746726957711,0.2881908375382048,0.28819083753820474,BNCI2014-001,2,1test
35,5,6,"(2, 2, 2)",0.00021695282669189015,0.2674378906775262,0.017153355740538143,0.27860807759391903,0.278608077593919,BNCI2014-001,2,1test
36,6,7,"(4, 4, 4)",0.00021772808243115458,0.2766133691094982,0.01774347882854695,0.27028802233963756,0.2702880223396375,BNCI2014-001,2,1test
37,7,8,"(2, 2, 2)",0.0002183315286752997,0.27981749240760007,0.020405947681201513,0.2679599907388326,0.26795999073883253,BNCI2014-001,2,1test
38,8,9,"(1, 1, 1)",0.00021885420457341289,0.2810211028764994,0.01893850405410013,0.26702832809925875,0.2670283280992587,BNCI2014-001,2,1test
39,9,10,"(2, 2, 2)",0.0002192042531676002,0.28310942787564697,0.01620918859757878,0.2658276858121068,0.26582768581210675,BNCI2014-001,2,1test
40,0,1,"(8, 4, 8)",0.0025040912334360864,0.12131155437854313,0.24551408299891975,0.6958451414783818,0.6958451414783815,BNCI2014-001,3,0train
41,1,2,"(1, 1, 1)",0.002596129674281738,0.12938211246480116,0.24264601769569807,0.6945653079460044,0.694565307946004,BNCI2014-001,3,0train
42,2,3,"(1, 1, 1)",0.002669287320182274,0.13141858297625733,0.27742095595047567,0.6937786815730768,0.6937786815730764,BNCI2014-001,3,0train
43,3,4,"(2, 2, 2)",0.002679193501752209,0.13637589575316983,0.25212103230868305,0.6895744512865494,0.689574451286549,BNCI2014-001,3,0train
44,4,5,"(2, 2, 2)",0.002665450290716821,0.14922363906553537,0.18532118059606162,0.6747038840614793,0.674703884061479,BNCI2014-001,3,0train
45,5,6,"(2, 2, 2)",0.0026579661484255153,0.16745406167433602,0.14489248698923557,0.6664285361443442,0.6664285361443438,BNCI2014-001,3,0train
46,6,7,"(22, 4, 16)",0.0001213716620388124,0.3306601102281862,1.3777672364574724e-05,2.9562979012869496e-06,2.9562979012869484e-06,BNCI2014-001,3,0train
