,block,rank,fold,train_score,val_score,n_features,test_score,dataset,subject,session
314,2,"(2, 2, 2)",4,0.7934782608695652,0.4782608695652174,80,0.4827586206896552,BNCI2014-001,4,0train
315,3,"(8, 4, 8)",0,0.9456521739130435,0.391304347826087,336,0.3275862068965517,BNCI2014-001,4,0train
316,3,"(8, 4, 8)",1,0.8913043478260869,0.5869565217391305,336,0.3275862068965517,BNCI2014-001,4,0train
317,3,"(8, 4, 8)",2,0.9021739130434783,0.5217391304347826,336,0.3793103448275862,BNCI2014-001,4,0train
318,3,"(8, 4, 8)",3,0.9456521739130435,0.5,336,0.3620689655172414,BNCI2014-001,4,0train
319,3,"(8, 4, 8)",4,0.9021739130434783,0.4782608695652174,336,0.4482758620689655,BNCI2014-001,4,0train
320,4,"(16, 4, 16)",0,0.967391304347826,0.41304347826086957,1360,0.3275862068965517,BNCI2014-001,4,0train
321,4,"(16, 4, 16)",1,0.9728260869565217,0.5434782608695652,1360,0.3620689655172414,BNCI2014-001,4,0train
322,4,"(16, 4, 16)",2,0.9402173913043478,0.5217391304347826,1360,0.4827586206896552,BNCI2014-001,4,0train
323,4,"(16, 4, 16)",3,0.9782608695652174,0.45652173913043476,1360,0.3448275862068966,BNCI2014-001,4,0train
324,4,"(16, 4, 16)",4,0.9782608695652174,0.4782608695652174,1360,0.5,BNCI2014-001,4,0train
325,5,"(4, 4, 4)",0,0.967391304347826,0.4782608695652174,1424,0.3448275862068966,BNCI2014-001,4,0train
326,5,"(4, 4, 4)",1,0.9619565217391305,0.5,1424,0.3793103448275862,BNCI2014-001,4,0train
327,5,"(4, 4, 4)",2,0.9402173913043478,0.5434782608695652,1424,0.39655172413793105,BNCI2014-001,4,0train
328,5,"(4, 4, 4)",3,0.9891304347826086,0.391304347826087,1424,0.3448275862068966,BNCI2014-001,4,0train
329,5,"(4, 4, 4)",4,0.9728260869565217,0.391304347826087,1424,0.4827586206896552,BNCI2014-001,4,0train
330,6,"(1, 1, 1)",0,0.9728260869565217,0.5,1425,0.3793103448275862,BNCI2014-001,4,0train
331,6,"(1, 1, 1)",1,0.9619565217391305,0.45652173913043476,1425,0.3620689655172414,BNCI2014-001,4,0train
332,6,"(1, 1, 1)",2,0.9402173913043478,0.5869565217391305,1425,0.43103448275862066,BNCI2014-001,4,0train
333,6,"(1, 1, 1)",3,0.9782608695652174,0.3695652173913043,1425,0.29310344827586204,BNCI2014-001,4,0train
334,6,"(1, 1, 1)",4,0.9728260869565217,0.43478260869565216,1425,0.5,BNCI2014-001,4,0train
335,7,"(1, 1, 1)",0,0.9782608695652174,0.4782608695652174,1426,0.39655172413793105,BNCI2014-001,4,0train
336,7,"(1, 1, 1)",1,0.9619565217391305,0.43478260869565216,1426,0.3793103448275862,BNCI2014-001,4,0train
337,7,"(1, 1, 1)",2,0.9510869565217391,0.5869565217391305,1426,0.4482758620689655,BNCI2014-001,4,0train
338,7,"(1, 1, 1)",3,0.9891304347826086,0.3695652173913043,1426,0.3620689655172414,BNCI2014-001,4,0train
339,7,"(1, 1, 1)",4,0.9836956521739131,0.41304347826086957,1426,0.41379310344827586,BNCI2014-001,4,0train
340,8,"(1, 1, 1)",0,0.9782608695652174,0.4782608695652174,1427,0.41379310344827586,BNCI2014-001,4,0train
341,8,"(1, 1, 1)",1,0.9619565217391305,0.391304347826087,1427,0.3448275862068966,BNCI2014-001,4,0train
342,8,"(1, 1, 1)",2,0.9510869565217391,0.5434782608695652,1427,0.46551724137931033,BNCI2014-001,4,0train
343,8,"(1, 1, 1)",3,0.9891304347826086,0.3695652173913043,1427,0.29310344827586204,BNCI2014-001,4,0train
344,8,"(1, 1, 1)",4,0.9836956521739131,0.41304347826086957,1427,0.39655172413793105,BNCI2014-001,4,0train
345,9,"(1, 1, 1)",0,0.9782608695652174,0.45652173913043476,1428,0.39655172413793105,BNCI2014-001,4,0train
346,9,"(1, 1, 1)",1,0.9782608695652174,0.41304347826086957,1428,0.3448275862068966,BNCI2014-001,4,0train
347,9,"(1, 1, 1)",2,0.9619565217391305,0.5217391304347826,1428,0.46551724137931033,BNCI2014-001,4,0train
348,9,"(1, 1, 1)",3,0.9891304347826086,0.32608695652173914,1428,0.29310344827586204,BNCI2014-001,4,0train
349,9,"(1, 1, 1)",4,0.9782608695652174,0.43478260869565216,1428,0.43103448275862066,BNCI2014-001,4,0train
350,0,"(1, 1, 1)",0,0.5054347826086957,0.45652173913043476,1,0.39655172413793105,BNCI2014-001,4,1test
351,0,"(1, 1, 1)",1,0.5815217391304348,0.41304347826086957,1,0.3620689655172414,BNCI2014-001,4,1test
352,0,"(1, 1, 1)",2,0.5706521739130435,0.5434782608695652,1,0.39655172413793105,BNCI2014-001,4,1test
353,0,"(1, 1, 1)",3,0.5271739130434783,0.5217391304347826,1,0.3448275862068966,BNCI2014-001,4,1test
354,0,"(1, 1, 1)",4,0.6032608695652174,0.391304347826087,1,0.3620689655172414,BNCI2014-001,4,1test
355,1,"(16, 4, 16)",0,0.967391304347826,0.45652173913043476,1025,0.3275862068965517,BNCI2014-001,4,1test
356,1,"(16, 4, 16)",1,0.967391304347826,0.4782608695652174,1025,0.46551724137931033,BNCI2014-001,4,1test
357,1,"(16, 4, 16)",2,0.9782608695652174,0.5,1025,0.43103448275862066,BNCI2014-001,4,1test
358,1,"(16, 4, 16)",3,0.9728260869565217,0.5,1025,0.5344827586206896,BNCI2014-001,4,1test
359,1,"(16, 4, 16)",4,0.9510869565217391,0.4782608695652174,1025,0.46551724137931033,BNCI2014-001,4,1test
360,2,"(1, 1, 1)",0,0.967391304347826,0.45652173913043476,1026,0.43103448275862066,BNCI2014-001,4,1test
361,2,"(1, 1, 1)",1,0.967391304347826,0.5,1026,0.46551724137931033,BNCI2014-001,4,1test
362,2,"(1, 1, 1)",2,0.9782608695652174,0.5217391304347826,1026,0.4482758620689655,BNCI2014-001,4,1test
363,2,"(1, 1, 1)",3,0.9728260869565217,0.5,1026,0.4827586206896552,BNCI2014-001,4,1test
364,2,"(1, 1, 1)",4,0.9565217391304348,0.5434782608695652,1026,0.43103448275862066,BNCI2014-001,4,1test
365,3,"(2, 2, 2)",0,0.967391304347826,0.5217391304347826,1034,0.4482758620689655,BNCI2014-001,4,1test
366,3,"(2, 2, 2)",1,0.9782608695652174,0.5217391304347826,1034,0.41379310344827586,BNCI2014-001,4,1test
367,3,"(2, 2, 2)",2,0.9836956521739131,0.4782608695652174,1034,0.46551724137931033,BNCI2014-001,4,1test
