,block,rank,fold,train_score,val_score,n_features,test_score,dataset,subject,session
286,7,"(2, 2)",1,0.9353854432397959,0.8916454081632653,937,0.8810000000000001,BNCI2014-008,6,0
287,7,"(2, 2)",2,0.9394421635841838,0.8634088010204082,937,0.8833061224489797,BNCI2014-008,6,0
288,7,"(2, 2)",3,0.9311772560586734,0.8846938775510204,937,0.8922653061224489,BNCI2014-008,6,0
289,7,"(2, 2)",4,0.9367456552933674,0.8932238520408163,937,0.880234693877551,BNCI2014-008,6,0
290,8,"(8, 8)",0,0.9335239955357142,0.8985012755102041,1001,0.8831428571428571,BNCI2014-008,6,0
291,8,"(8, 8)",1,0.9366948341836735,0.8885204081632653,1001,0.8823367346938775,BNCI2014-008,6,0
292,8,"(8, 8)",2,0.9412348533163265,0.8673947704081633,1001,0.8824081632653062,BNCI2014-008,6,0
293,8,"(8, 8)",3,0.9336385921556123,0.883657525510204,1001,0.8910408163265305,BNCI2014-008,6,0
294,8,"(8, 8)",4,0.9383858816964286,0.8919961734693879,1001,0.8796428571428572,BNCI2014-008,6,0
295,9,"(2, 2)",0,0.9335329639668366,0.8985172193877552,1005,0.8834387755102041,BNCI2014-008,6,0
296,9,"(2, 2)",1,0.9371213329081634,0.8899872448979592,1005,0.8820918367346938,BNCI2014-008,6,0
297,9,"(2, 2)",2,0.9415726642219387,0.8670599489795918,1005,0.8835306122448979,BNCI2014-008,6,0
298,9,"(2, 2)",3,0.9337292729591835,0.8834502551020409,1005,0.8916224489795918,BNCI2014-008,6,0
299,9,"(2, 2)",4,0.9387834821428571,0.8918048469387754,1005,0.8802551020408164,BNCI2014-008,6,0
300,0,"(8, 16)",0,0.8922951211734693,0.8441485969387754,128,0.8597448979591836,BNCI2014-008,7,0
301,0,"(8, 16)",1,0.8921894929846939,0.8495854591836736,128,0.857561224489796,BNCI2014-008,7,0
302,0,"(8, 16)",2,0.886945950255102,0.8619738520408163,128,0.8473571428571428,BNCI2014-008,7,0
303,0,"(8, 16)",3,0.8865892059948979,0.8524553571428571,128,0.8645408163265306,BNCI2014-008,7,0
304,0,"(8, 16)",4,0.8858199139030613,0.860953443877551,128,0.8604795918367346,BNCI2014-008,7,0
305,1,"(8, 16)",0,0.9029775191326531,0.8514030612244898,256,0.8566224489795919,BNCI2014-008,7,0
306,1,"(8, 16)",1,0.9018863600127554,0.8644451530612246,256,0.8632244897959184,BNCI2014-008,7,0
307,1,"(8, 16)",2,0.9023636798469388,0.8519132653061223,256,0.8523469387755103,BNCI2014-008,7,0
308,1,"(8, 16)",3,0.8983777104591837,0.8679049744897959,256,0.871642857142857,BNCI2014-008,7,0
309,1,"(8, 16)",4,0.8957101004464286,0.8768813775510205,256,0.8650204081632653,BNCI2014-008,7,0
310,2,"(8, 48)",0,0.916794882015306,0.863982780612245,640,0.8606122448979593,BNCI2014-008,7,0
311,2,"(8, 48)",1,0.9128009406887756,0.870360331632653,640,0.8785102040816326,BNCI2014-008,7,0
312,2,"(8, 48)",2,0.9165148676658162,0.8526466836734694,640,0.8587244897959183,BNCI2014-008,7,0
313,2,"(8, 48)",3,0.914207987882653,0.8689094387755103,640,0.8694693877551022,BNCI2014-008,7,0
314,2,"(8, 48)",4,0.9070422114158163,0.8890625,640,0.8684387755102042,BNCI2014-008,7,0
315,3,"(8, 48)",0,0.9200703523596938,0.868606505102041,1024,0.861591836734694,BNCI2014-008,7,0
316,3,"(8, 48)",1,0.9164351482780612,0.8650350765306123,1024,0.8738469387755101,BNCI2014-008,7,0
