,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
103,0.4859375,4.340305,160.0,3,3test,3,5,BNCI2014-004,PARAFACDA_10
104,0.5960938,4.4888673,160.0,3,4test,3,5,BNCI2014-004,PARAFACDA_10
105,0.96666664,3.6933067,120.0,4,0train,3,5,BNCI2014-004,PARAFACDA_10
106,0.99489796,4.0794396,140.0,4,1train,3,5,BNCI2014-004,PARAFACDA_10
107,1.0,3.8954005,160.0,4,2train,3,5,BNCI2014-004,PARAFACDA_10
108,1.0,4.271752,160.0,4,3test,3,5,BNCI2014-004,PARAFACDA_10
109,0.984375,4.2522864,160.0,4,4test,3,5,BNCI2014-004,PARAFACDA_10
110,0.8375,3.5718937,120.0,5,0train,3,5,BNCI2014-004,PARAFACDA_10
111,0.94081634,4.281133,140.0,5,1train,3,5,BNCI2014-004,PARAFACDA_10
112,0.9710938,4.1354675,160.0,5,2train,3,5,BNCI2014-004,PARAFACDA_10
113,0.9734375,4.125031,160.0,5,3test,3,5,BNCI2014-004,PARAFACDA_10
114,0.9890625,4.150138,160.0,5,4test,3,5,BNCI2014-004,PARAFACDA_10
115,0.8958333,3.89328,120.0,6,0train,3,5,BNCI2014-004,PARAFACDA_10
116,0.8472222,3.935604,120.0,6,1train,3,5,BNCI2014-004,PARAFACDA_10
117,0.88984376,3.9331708,160.0,6,2train,3,5,BNCI2014-004,PARAFACDA_10
118,0.97265625,4.285991,160.0,6,3test,3,5,BNCI2014-004,PARAFACDA_10
119,0.9890625,4.1637506,160.0,6,4test,3,5,BNCI2014-004,PARAFACDA_10
120,0.6513889,4.0561595,120.0,7,0train,3,5,BNCI2014-004,PARAFACDA_10
121,0.59444445,4.0329766,120.0,7,1train,3,5,BNCI2014-004,PARAFACDA_10
122,0.8625,4.088159,160.0,7,2train,3,5,BNCI2014-004,PARAFACDA_10
123,0.75625,4.224536,160.0,7,3test,3,5,BNCI2014-004,PARAFACDA_10
124,0.8671875,3.9886415,160.0,7,4test,3,5,BNCI2014-004,PARAFACDA_10
125,0.6078125,4.2434425,160.0,8,0train,3,5,BNCI2014-004,PARAFACDA_10
126,0.6944444,4.066765,120.0,8,1train,3,5,BNCI2014-004,PARAFACDA_10
127,0.953125,4.1677384,160.0,8,2train,3,5,BNCI2014-004,PARAFACDA_10
128,0.9296875,4.3407273,160.0,8,3test,3,5,BNCI2014-004,PARAFACDA_10
129,0.9945313,4.4423785,160.0,8,4test,3,5,BNCI2014-004,PARAFACDA_10
130,0.7111111,3.9130056,120.0,9,0train,3,5,BNCI2014-004,PARAFACDA_10
131,0.54583335,4.316572,120.0,9,1train,3,5,BNCI2014-004,PARAFACDA_10
132,0.9554688,3.656114,160.0,9,2train,3,5,BNCI2014-004,PARAFACDA_10
133,0.94921875,4.219006,160.0,9,3test,3,5,BNCI2014-004,PARAFACDA_10
134,0.9296875,4.4357934,160.0,9,4test,3,5,BNCI2014-004,PARAFACDA_10
