,block,rank,val_score,test_score,tLDA_score,dataset,subject,session,n_features
11,12,"(4, 4)",0.9911948906356802,0.9453125,0.9645833333333333,BNCI2014-009,4,0,54
12,13,"(2, 2)",0.992415698336751,0.9479166666666667,0.9645833333333333,BNCI2014-009,4,0,58
13,14,"(2, 2)",0.9941299270904533,0.946875,0.9645833333333333,BNCI2014-009,4,0,62
14,15,"(2, 2)",0.9936104465709729,0.946875,0.9645833333333333,BNCI2014-009,4,0,66
15,16,"(2, 2)",0.9943030872636136,0.9473958333333334,0.9645833333333333,BNCI2014-009,4,0,70
0,1,"(1, 1)",0.9311255411255411,0.9622823984526112,0.9632495164410059,BNCI2014-009,4,1,1
1,2,"(2, 2)",0.9684981684981684,0.968568665377176,0.9632495164410059,BNCI2014-009,4,1,5
2,3,"(1, 1)",0.9763503163503164,0.9729206963249516,0.9632495164410059,BNCI2014-009,4,1,6
3,4,"(4, 4)",0.9857708957708958,0.975338491295938,0.9632495164410059,BNCI2014-009,4,1,22
4,5,"(1, 1)",0.9828071928071929,0.9792069632495165,0.9632495164410059,BNCI2014-009,4,1,23
5,6,"(1, 1)",0.985068265068265,0.9796905222437137,0.9632495164410059,BNCI2014-009,4,1,24
6,7,"(2, 2)",0.9906293706293706,0.9758220502901355,0.9632495164410059,BNCI2014-009,4,1,28
7,8,"(1, 1)",0.9908957708957707,0.9806576402321083,0.9632495164410059,BNCI2014-009,4,1,29
8,9,"(1, 1)",0.9895604395604396,0.9777562862669246,0.9632495164410059,BNCI2014-009,4,1,30
9,10,"(4, 4)",0.9902630702630703,0.9772727272727273,0.9632495164410059,BNCI2014-009,4,1,46
10,11,"(4, 4)",0.9919946719946721,0.9709864603481625,0.9632495164410059,BNCI2014-009,4,1,62
11,12,"(4, 4)",0.9888877788877789,0.9676015473887815,0.9632495164410059,BNCI2014-009,4,1,78
12,13,"(2, 2)",0.9878088578088577,0.9680851063829787,0.9632495164410059,BNCI2014-009,4,1,82
13,14,"(4, 4)",0.9888478188478187,0.9700193423597679,0.9632495164410059,BNCI2014-009,4,1,98
