,index,block,rank,F_tr,F_rt,log_loss,mse,nmse,dataset,subject,session
13,3,4,"(2, 2)",9.339378306435376e-07,0.0003406988279566793,0.2871095055155888,0.00018689764008773046,0.00018689764008773105,BNCI2014-008,2,0
14,4,5,"(1, 1)",9.339379808156741e-07,0.0003407875297572479,0.2868809307752202,0.0001864507468459489,0.00018645074684594948,BNCI2014-008,2,0
15,5,6,"(8, 48)",9.337797752580008e-07,0.0003659664443398816,0.28576764998444687,6.9023754903769e-08,6.902375490376923e-08,BNCI2014-008,2,0
16,6,7,"(4, 4)",9.337797853191369e-07,0.00036673679932224256,0.2858371508060384,6.802470354780654e-08,6.802470354780676e-08,BNCI2014-008,2,0
17,7,8,"(4, 4)",9.337797858169234e-07,0.00036749130229771026,0.2858499886779286,6.753713792529583e-08,6.753713792529604e-08,BNCI2014-008,2,0
18,8,9,"(4, 4)",9.337797862809156e-07,0.0003682304664475674,0.28574340852670194,6.702867409060037e-08,6.702867409060058e-08,BNCI2014-008,2,0
19,9,10,"(2, 2)",9.337797863975484e-07,0.00036841291833669286,0.28572766644261793,6.683929908822966e-08,6.683929908822987e-08,BNCI2014-008,2,0
20,0,1,"(8, 32)",1.0164813532109382e-06,0.0004367983325882012,0.2611436532436348,0.5190076669057632,0.5190076669057656,BNCI2014-008,3,0
21,1,2,"(1, 1)",1.0167977816102138e-06,0.00043698910457995037,0.26042695519661124,0.5186542105367696,0.5186542105367721,BNCI2014-008,3,0
22,2,3,"(2, 2)",1.0169155077935682e-06,0.0004378263780204909,0.2597319147306114,0.5174479402200349,0.5174479402200374,BNCI2014-008,3,0
23,3,4,"(1, 1)",1.017631697744382e-06,0.00043806164416184984,0.25923232838272053,0.5172112866209606,0.517211286620963,BNCI2014-008,3,0
24,4,5,"(1, 1)",1.0179608652511237e-06,0.0004381944052216301,0.2596790174460231,0.516978850403908,0.5169788504039105,BNCI2014-008,3,0
25,5,6,"(1, 1)",1.0187405980060294e-06,0.0004468627451756456,0.25651507162106046,0.516152039826449,0.5161520398264514,BNCI2014-008,3,0
26,6,7,"(1, 1)",1.018987097558237e-06,0.00044803839462407663,0.2558890955801263,0.5110645783756482,0.5110645783756507,BNCI2014-008,3,0
27,7,8,"(1, 1)",1.0190296748047918e-06,0.00044812124537955365,0.25748375548444075,0.5105326441264533,0.5105326441264557,BNCI2014-008,3,0
28,8,9,"(8, 32)",1.0174239720144607e-06,0.0004633804026508764,0.24430073220234075,0.46910561527736094,0.46910561527736316,BNCI2014-008,3,0
29,9,10,"(1, 1)",1.0176966653400347e-06,0.0004688692646992397,0.24301651509451203,0.4687457599331799,0.4687457599331821,BNCI2014-008,3,0
30,0,1,"(8, 48)",6.91257069869443e-07,0.00032403228377520595,0.3003058342424116,1.749385312445328e-05,1.749385312445325e-05,BNCI2014-008,4,0
31,1,2,"(1, 1)",6.912572761195679e-07,0.00032413041280835147,0.3048824656216587,1.746305753777317e-05,1.746305753777314e-05,BNCI2014-008,4,0
32,2,3,"(2, 2)",6.912573396570654e-07,0.0003245183557165686,0.305977247127051,1.7427528865706546e-05,1.7427528865706516e-05,BNCI2014-008,4,0
33,3,4,"(2, 2)",6.912573819390326e-07,0.0003248995210806082,0.3058311356653736,1.735759045988664e-05,1.735759045988661e-05,BNCI2014-008,4,0
34,4,5,"(1, 1)",6.91257436349738e-07,0.000324993792381705,0.3067758189133724,1.731059330101884e-05,1.731059330101881e-05,BNCI2014-008,4,0
35,5,6,"(2, 2)",6.912574809307306e-07,0.0003253667580293646,0.30631192440101696,1.7245489050941435e-05,1.7245489050941404e-05,BNCI2014-008,4,0
36,6,7,"(1, 1)",6.912574931058256e-07,0.00032545900433073754,0.306691843629084,1.7229014914315057e-05,1.7229014914315026e-05,BNCI2014-008,4,0
37,7,8,"(1, 1)",6.912574961400287e-07,0.00032555084378897925,0.30690565341547443,1.721139580398606e-05,1.721139580398603e-05,BNCI2014-008,4,0
38,8,9,"(1, 1)",6.912574989140294e-07,0.00032564229048150187,0.30707765410226934,1.7204365737863924e-05,1.7204365737863894e-05,BNCI2014-008,4,0
39,9,10,"(1, 1)",6.91257501078974e-07,0.00032573334766239543,0.30659915046505015,1.7169771180017622e-05,1.716977118001759e-05,BNCI2014-008,4,0
40,0,1,"(1, 1)",0.0001276586879825492,0.00025519579626225784,0.32036514609436845,0.991951999388408,0.9919519993884083,BNCI2014-008,5,0
41,1,2,"(8, 32)",7.559373888573689e-07,0.00039310019867859616,0.27352753988284983,0.45687664301131087,0.45687664301131103,BNCI2014-008,5,0
42,2,3,"(8, 32)",7.697431965307813e-07,0.0004177032604119177,0.2625954193142935,0.42194998154534835,0.4219499815453485,BNCI2014-008,5,0
43,3,4,"(8, 48)",4.4166184415796944e-07,0.0004440702966257767,0.25450200603023415,4.434256313213846e-06,4.434256313213847e-06,BNCI2014-008,5,0
44,4,5,"(4, 4)",4.4166229010761786e-07,0.0004446198988075815,0.25469910913233834,4.151894001881002e-06,4.151894001881004e-06,BNCI2014-008,5,0
45,5,6,"(4, 4)",4.4166240437084657e-07,0.0004451528209566555,0.25477743668491276,4.103635557410767e-06,4.103635557410769e-06,BNCI2014-008,5,0
46,6,7,"(4, 4)",4.4166242217253203e-07,0.000445669896268844,0.2547236584142714,4.088117966741317e-06,4.088117966741319e-06,BNCI2014-008,5,0
47,7,8,"(1, 1)",4.4166243361758346e-07,0.0004457017087298853,0.2548592170172947,4.07825098355381e-06,4.0782509835538115e-06,BNCI2014-008,5,0
48,8,9,"(8, 16)",4.416628771829037e-07,0.0004493400271952799,0.25471325113873783,3.2376697254692327e-06,3.237669725469234e-06,BNCI2014-008,5,0
49,9,10,"(8, 16)",4.4166289874674316e-07,0.0004522862401346407,0.25419363522364957,2.9469966855884635e-06,2.9469966855884643e-06,BNCI2014-008,5,0
50,0,1,"(8, 48)",1.5489817220485819e-06,0.0005241796663880722,0.2326445194686483,2.472720807002529e-05,2.472720807002544e-05,BNCI2014-008,6,0
51,1,2,"(1, 1)",1.5489824374854854e-06,0.0005243437827636832,0.22864943715343258,2.4603497823039212e-05,2.460349782303936e-05,BNCI2014-008,6,0
52,2,3,"(8, 48)",1.54895646324934e-06,0.0005584298206306137,0.21881767484657824,1.3834101295378564e-11,1.3834101295378648e-11,BNCI2014-008,6,0
53,3,4,"(8, 16)",1.5489564632510018e-06,0.0005639257918679642,0.21830082280064125,1.2803885901016215e-11,1.2803885901016293e-11,BNCI2014-008,6,0
54,4,5,"(4, 4)",1.5489564632510276e-06,0.0005645179415057386,0.21836480945781886,1.2634980483730026e-11,1.2634980483730104e-11,BNCI2014-008,6,0
55,5,6,"(4, 4)",1.5489564632510327e-06,0.0005650923358171757,0.218313043668555,1.2566027171117146e-11,1.2566027171117222e-11,BNCI2014-008,6,0
56,6,7,"(2, 2)",1.5489564632510371e-06,0.0005652332577055,0.21833344963811985,1.253089049921394e-11,1.2530890499214016e-11,BNCI2014-008,6,0
57,7,8,"(2, 2)",1.5489564632510405e-06,0.0005653731339030871,0.2183894376107571,1.2511998357253299e-11,1.2511998357253375e-11,BNCI2014-008,6,0
58,8,9,"(8, 8)",1.5489564632510596e-06,0.0005674782946064828,0.21800456952156635,1.1910426183836036e-11,1.1910426183836108e-11,BNCI2014-008,6,0
59,9,10,"(2, 2)",1.548956463251066e-06,0.0005676021068879584,0.2180772423506725,1.1903807503717122e-11,1.1903807503717194e-11,BNCI2014-008,6,0
60,0,1,"(8, 16)",5.278578903282063e-06,0.00040702076734240925,0.27443986093637857,0.8194051759867437,0.8194051759867391,BNCI2014-008,7,0
61,1,2,"(8, 16)",4.940175195431252e-06,0.0004309611440027865,0.2619474200189142,0.771778567634511,0.7717785676345067,BNCI2014-008,7,0
62,2,3,"(8, 48)",1.041170084215333e-06,0.0005258657332688184,0.22716184653297009,8.047821994181474e-06,8.04782199418143e-06,BNCI2014-008,7,0
