,index,block,rank,F_tr,F_rt,log_loss,mse,nmse,dataset,subject,session
225,5,6,"(2, 2, 2)",0.00030897301351281146,0.09217282189710232,0.015403490494081417,0.40613193992838903,0.40613193992838903,BNCI2014-004,5,2train
226,6,7,"(2, 2, 2)",0.0003089052730719598,0.09339309547809019,0.014614145794374384,0.40179093619441086,0.40179093619441086,BNCI2014-004,5,2train
227,7,8,"(3, 4, 4)",0.00030743878170180793,0.09966652153173206,0.0097870670383812,0.31613209569575323,0.31613209569575323,BNCI2014-004,5,2train
228,8,9,"(3, 4, 18)",0.00017755044711033062,0.12951879151548293,0.0033673102139316715,0.00013945057461509308,0.00013945057461509308,BNCI2014-004,5,2train
229,9,10,"(2, 2, 2)",0.00017755178516196048,0.13074045570261061,0.003794141165113174,0.0001363761114264072,0.0001363761114264072,BNCI2014-004,5,2train
230,0,1,"(1, 1, 1)",0.016335918965666503,0.032263439957191345,0.1351120104683044,0.9795941343193363,0.9795941343193363,BNCI2014-004,5,3test
231,1,2,"(3, 4, 16)",0.0001305699663464619,0.05795052139282762,0.0528120093727197,0.1533490202563074,0.1533490202563074,BNCI2014-004,5,3test
232,2,3,"(1, 1, 1)",0.00013057824668710134,0.058196712853312176,0.06610761218071362,0.15061013093100098,0.15061013093100098,BNCI2014-004,5,3test
233,3,4,"(3, 4, 8)",0.00013052945206777744,0.07892466669946459,0.03062595796628572,0.0740404823422233,0.0740404823422233,BNCI2014-004,5,3test
234,4,5,"(3, 4, 16)",0.00013051602772072029,0.11135513002147125,0.011745101925668276,0.06750737021844332,0.06750737021844332,BNCI2014-004,5,3test
235,5,6,"(1, 1, 1)",0.0001305462568009799,0.11150847694882159,0.0118373001661135,0.06722208615923458,0.06722208615923458,BNCI2014-004,5,3test
236,6,7,"(1, 1, 1)",0.00013056574275780962,0.1116565641670369,0.011786232557556326,0.06674793154164421,0.06674793154164421,BNCI2014-004,5,3test
237,7,8,"(1, 1, 1)",0.00013058663681427224,0.1118043388526055,0.011731784692353012,0.06643310531614151,0.06643310531614151,BNCI2014-004,5,3test
238,8,9,"(1, 1, 1)",0.00013058694758999302,0.11195390082845488,0.011779357353276123,0.06631671378984422,0.06631671378984422,BNCI2014-004,5,3test
239,9,10,"(1, 1, 1)",0.0001305872631816391,0.11210331198449523,0.011715886396072826,0.06626217322953583,0.06626217322953583,BNCI2014-004,5,3test
240,0,1,"(1, 1, 1)",0.02075071256076409,0.04098265730750907,0.0797454425067872,0.9804655222754638,0.980465522275464,BNCI2014-004,5,4test
241,1,2,"(2, 2, 2)",0.0025779414470519305,0.05135394167149494,0.06937513913549316,0.9486285616191017,0.9486285616191019,BNCI2014-004,5,4test
242,2,3,"(3, 4, 18)",9.289961787487378e-05,0.05704285171314975,0.04187750093696072,0.0006861050618697088,0.0006861050618697089,BNCI2014-004,5,4test
243,3,4,"(1, 1, 1)",9.290100565950109e-05,0.0572926526144337,0.03860855443901613,0.0006769503219360858,0.0006769503219360859,BNCI2014-004,5,4test
