,stc,snr,jitter,method,rho,fold
111,sine,-1,0.3,WCBLE-median,0.9963924666656971,1
112,sine,-1,0.3,WCBLE-median,0.999508367877607,2
113,sine,-1,0.3,WCBLE-median,0.9989808977412057,3
114,sine,-1,0.3,WCBLE-median,0.9991863743970957,4
115,sine,-1,0.3,WCBLE-median,0.9975163653590184,5
116,sine,-1,0.3,WCBLE-median,0.9991081921523733,6
117,sine,-1,0.3,WCBLE-median,0.999462732121252,7
118,sine,-1,0.3,WCBLE-median,0.9995950599039344,8
119,sine,-1,0.3,WCBLE-median,0.9989780982126844,9
120,sine,-2,0.1,CBLE-median,0.9971386630880513,0
121,sine,-2,0.1,CBLE-median,0.9684619092066049,1
122,sine,-2,0.1,CBLE-median,0.9866020431728524,2
123,sine,-2,0.1,CBLE-median,0.9360521873353793,3
124,sine,-2,0.1,CBLE-median,0.9895332838879518,4
125,sine,-2,0.1,CBLE-median,0.9967477206841004,5
126,sine,-2,0.1,CBLE-median,0.981938907352238,6
127,sine,-2,0.1,CBLE-median,0.957000219695989,7
128,sine,-2,0.1,CBLE-median,0.9831991746523455,8
129,sine,-2,0.1,CBLE-median,0.9900903940686294,9
130,sine,-2,0.1,WCBLE-median,0.9957277139042866,0
131,sine,-2,0.1,WCBLE-median,0.9985000380600654,1
132,sine,-2,0.1,WCBLE-median,0.9938596386037301,2
133,sine,-2,0.1,WCBLE-median,0.9952331943133221,3
134,sine,-2,0.1,WCBLE-median,0.9911787619424958,4
135,sine,-2,0.1,WCBLE-median,0.9969786020174238,5
136,sine,-2,0.1,WCBLE-median,0.9950937449092963,6
137,sine,-2,0.1,WCBLE-median,0.9939728266741847,7
138,sine,-2,0.1,WCBLE-median,0.9975503969974175,8
139,sine,-2,0.1,WCBLE-median,0.9972287322391932,9
140,sine,-2,0.2,CBLE-median,0.9968026243920475,0
141,sine,-2,0.2,CBLE-median,0.9553559981766608,1
142,sine,-2,0.2,CBLE-median,0.9738930011254776,2
143,sine,-2,0.2,CBLE-median,0.9572727842357492,3
144,sine,-2,0.2,CBLE-median,0.9952426626374471,4
145,sine,-2,0.2,CBLE-median,0.9794817627032204,5
146,sine,-2,0.2,CBLE-median,0.9859381926768993,6
147,sine,-2,0.2,CBLE-median,0.9205974488668847,7
148,sine,-2,0.2,CBLE-median,0.9303936647387728,8
149,sine,-2,0.2,CBLE-median,0.9418021744210291,9
150,sine,-2,0.2,WCBLE-median,0.9993323705327175,0
151,sine,-2,0.2,WCBLE-median,0.9993230871826472,1
152,sine,-2,0.2,WCBLE-median,0.9990120279279805,2
153,sine,-2,0.2,WCBLE-median,0.9988579388095723,3
154,sine,-2,0.2,WCBLE-median,0.9962745833801496,4
155,sine,-2,0.2,WCBLE-median,0.9987696604933982,5
156,sine,-2,0.2,WCBLE-median,0.9981265567067974,6
157,sine,-2,0.2,WCBLE-median,0.9987866653367905,7
158,sine,-2,0.2,WCBLE-median,0.9988960774794461,8
159,sine,-2,0.2,WCBLE-median,0.9992637971010191,9
160,sine,-2,0.3,CBLE-median,0.49527689103716355,0
161,sine,-2,0.3,CBLE-median,0.985809029490028,1
162,sine,-2,0.3,CBLE-median,0.955810623278353,2
163,sine,-2,0.3,CBLE-median,0.9989808977412057,3
164,sine,-2,0.3,CBLE-median,0.9973657754990002,4
165,sine,-2,0.3,CBLE-median,0.9668674824748942,5
166,sine,-2,0.3,CBLE-median,0.9344827551547661,6
167,sine,-2,0.3,CBLE-median,0.9035620716759887,7
168,sine,-2,0.3,CBLE-median,0.8919061813060665,8
169,sine,-2,0.3,CBLE-median,0.9529748181694988,9
170,sine,-2,0.3,WCBLE-median,-0.0659704296732201,0
171,sine,-2,0.3,WCBLE-median,0.9963924666656971,1
172,sine,-2,0.3,WCBLE-median,0.9995198890110797,2
173,sine,-2,0.3,WCBLE-median,0.998896019242082,3
174,sine,-2,0.3,WCBLE-median,0.9997632392257025,4
175,sine,-2,0.3,WCBLE-median,0.9975163653590184,5
176,sine,-2,0.3,WCBLE-median,0.9995326165911741,6
177,sine,-2,0.3,WCBLE-median,0.999462732121252,7
178,sine,-2,0.3,WCBLE-median,0.9991772576218938,8
179,sine,-2,0.3,WCBLE-median,0.9989780982126844,9
180,sine,-3,0.1,CBLE-median,0.9945840693504898,0
181,sine,-3,0.1,CBLE-median,0.9731589583703235,1
182,sine,-3,0.1,CBLE-median,0.9866020431728524,2
183,sine,-3,0.1,CBLE-median,0.9360521873353793,3
184,sine,-3,0.1,CBLE-median,0.9895332838879518,4
185,sine,-3,0.1,CBLE-median,0.9870842399861649,5
186,sine,-3,0.1,CBLE-median,0.981938907352238,6
187,sine,-3,0.1,CBLE-median,0.9525076993504762,7
188,sine,-3,0.1,CBLE-median,0.9831991746523455,8
189,sine,-3,0.1,CBLE-median,0.9900903940686294,9
190,sine,-3,0.1,WCBLE-median,0.9949456263414577,0
191,sine,-3,0.1,WCBLE-median,0.9960434541403527,1
192,sine,-3,0.1,WCBLE-median,0.9952474160171668,2
193,sine,-3,0.1,WCBLE-median,0.9952331943133221,3
194,sine,-3,0.1,WCBLE-median,0.9923521673521645,4
195,sine,-3,0.1,WCBLE-median,0.9961028757980831,5
196,sine,-3,0.1,WCBLE-median,0.9950937449092963,6
197,sine,-3,0.1,WCBLE-median,0.9937429570420497,7
