,stc,snr,jitter,method,rho,fold
265,gaussian,-4,0.2,WCBLE-mode,0.9982744886983057,0
266,gaussian,-4,0.2,WCBLE-mode,0.9978117352367094,1
267,gaussian,-4,0.2,WCBLE-mode,0.9978861770104305,2
268,gaussian,-4,0.2,WCBLE-mode,0.998192427057243,3
269,gaussian,-4,0.2,WCBLE-mode,0.9984154010628453,4
270,gaussian,-4,0.2,CBLE-median,0.9811641710558048,0
271,gaussian,-4,0.2,CBLE-median,0.9746305051564262,1
272,gaussian,-4,0.2,CBLE-median,0.9658308953737844,2
273,gaussian,-4,0.2,CBLE-median,0.971901953805991,3
274,gaussian,-4,0.2,CBLE-median,0.9760874565728833,4
275,gaussian,-4,0.2,WCBLE-median,0.9988944015022349,0
276,gaussian,-4,0.2,WCBLE-median,0.9981864398073687,1
277,gaussian,-4,0.2,WCBLE-median,0.9982732455995331,2
278,gaussian,-4,0.2,WCBLE-median,0.9981924270572426,3
279,gaussian,-4,0.2,WCBLE-median,0.9987276930820371,4
280,gaussian,-4,0.3,CBLE-mode,0.9356202989134637,0
281,gaussian,-4,0.3,CBLE-mode,0.963923694098145,1
282,gaussian,-4,0.3,CBLE-mode,0.9513945651376027,2
283,gaussian,-4,0.3,CBLE-mode,0.9385516911293948,3
284,gaussian,-4,0.3,CBLE-mode,0.9625682117607409,4
285,gaussian,-4,0.3,WCBLE-mode,0.9989622977339458,0
286,gaussian,-4,0.3,WCBLE-mode,0.9987094280872687,1
287,gaussian,-4,0.3,WCBLE-mode,0.9986277765068706,2
288,gaussian,-4,0.3,WCBLE-mode,0.9983771426077914,3
289,gaussian,-4,0.3,WCBLE-mode,0.9994237833981193,4
290,gaussian,-4,0.3,CBLE-median,0.9925895921355159,0
291,gaussian,-4,0.3,CBLE-median,0.9842312190438162,1
292,gaussian,-4,0.3,CBLE-median,0.9826363943452969,2
293,gaussian,-4,0.3,CBLE-median,0.9810852430393727,3
294,gaussian,-4,0.3,CBLE-median,0.9925414693639231,4
295,gaussian,-4,0.3,WCBLE-median,0.9994455475392879,0
296,gaussian,-4,0.3,WCBLE-median,0.9989766079394812,1
297,gaussian,-4,0.3,WCBLE-median,0.9986277765068707,2
298,gaussian,-4,0.3,WCBLE-median,0.9985793846746854,3
299,gaussian,-4,0.3,WCBLE-median,0.9996551738941283,4
300,gaussian,-5,0.1,CBLE-mode,0.9664949655987365,0
301,gaussian,-5,0.1,CBLE-mode,0.9504203406454982,1
302,gaussian,-5,0.1,CBLE-mode,0.9451561571582238,2
303,gaussian,-5,0.1,CBLE-mode,0.9336834601754628,3
304,gaussian,-5,0.1,CBLE-mode,0.9535760098795147,4
305,gaussian,-5,0.1,WCBLE-mode,0.9919511949798062,0
306,gaussian,-5,0.1,WCBLE-mode,0.9892672128314024,1
307,gaussian,-5,0.1,WCBLE-mode,0.9924222323507731,2
308,gaussian,-5,0.1,WCBLE-mode,0.9935877870930662,3
309,gaussian,-5,0.1,WCBLE-mode,0.9939430091772703,4
310,gaussian,-5,0.1,CBLE-median,0.9821074852580322,0
311,gaussian,-5,0.1,CBLE-median,0.9705871452970246,1
312,gaussian,-5,0.1,CBLE-median,0.9657351673908958,2
313,gaussian,-5,0.1,CBLE-median,0.948799801768315,3
314,gaussian,-5,0.1,CBLE-median,0.971953282082398,4
315,gaussian,-5,0.1,WCBLE-median,0.9955306113800092,0
316,gaussian,-5,0.1,WCBLE-median,0.993689207093703,1
317,gaussian,-5,0.1,WCBLE-median,0.9914604059271304,2
318,gaussian,-5,0.1,WCBLE-median,0.992144252193148,3
319,gaussian,-5,0.1,WCBLE-median,0.9939706615896043,4
320,gaussian,-5,0.2,CBLE-mode,0.9547636080585206,0
321,gaussian,-5,0.2,CBLE-mode,0.9557271093723241,1
