,stc,snr,jitter,method,accuracy,fold
225,sine,-7,0.2,tlda,0.25,5
226,sine,-7,0.2,tlda,0.15,6
227,sine,-7,0.2,tlda,0.3,7
228,sine,-7,0.2,tlda,0.15,8
229,sine,-7,0.2,tlda,0.3,9
230,sine,-7,0.3,tlda,0.1,0
231,sine,-7,0.3,tlda,0.2,1
232,sine,-7,0.3,tlda,0.05,2
233,sine,-7,0.3,tlda,0.1,3
234,sine,-7,0.3,tlda,0.25,4
235,sine,-7,0.3,tlda,0.05,5
236,sine,-7,0.3,tlda,0.1,6
237,sine,-7,0.3,tlda,0.2,7
238,sine,-7,0.3,tlda,0.15,8
239,sine,-7,0.3,tlda,0.2,9
240,sine,-8,0.1,tlda,0.8,0
241,sine,-8,0.1,tlda,0.65,1
242,sine,-8,0.1,tlda,0.7,2
243,sine,-8,0.1,tlda,0.75,3
244,sine,-8,0.1,tlda,0.75,4
245,sine,-8,0.1,tlda,0.8,5
246,sine,-8,0.1,tlda,0.8,6
247,sine,-8,0.1,tlda,0.9,7
248,sine,-8,0.1,tlda,0.75,8
249,sine,-8,0.1,tlda,0.65,9
250,sine,-8,0.2,tlda,0.2,0
251,sine,-8,0.2,tlda,0.3,1
252,sine,-8,0.2,tlda,0.25,2
253,sine,-8,0.2,tlda,0.2,3
254,sine,-8,0.2,tlda,0.25,4
255,sine,-8,0.2,tlda,0.2,5
256,sine,-8,0.2,tlda,0.15,6
257,sine,-8,0.2,tlda,0.3,7
258,sine,-8,0.2,tlda,0.15,8
259,sine,-8,0.2,tlda,0.25,9
260,sine,-8,0.3,tlda,0.05,0
261,sine,-8,0.3,tlda,0.2,1
262,sine,-8,0.3,tlda,0.05,2
263,sine,-8,0.3,tlda,0.1,3
264,sine,-8,0.3,tlda,0.25,4
265,sine,-8,0.3,tlda,0.05,5
266,sine,-8,0.3,tlda,0.1,6
267,sine,-8,0.3,tlda,0.15,7
268,sine,-8,0.3,tlda,0.15,8
269,sine,-8,0.3,tlda,0.15,9
270,sine,-9,0.1,tlda,0.65,0
271,sine,-9,0.1,tlda,0.65,1
272,sine,-9,0.1,tlda,0.7,2
273,sine,-9,0.1,tlda,0.7,3
274,sine,-9,0.1,tlda,0.75,4
275,sine,-9,0.1,tlda,0.8,5
276,sine,-9,0.1,tlda,0.7,6
277,sine,-9,0.1,tlda,0.8,7
278,sine,-9,0.1,tlda,0.7,8
279,sine,-9,0.1,tlda,0.65,9
280,sine,-9,0.2,tlda,0.2,0
281,sine,-9,0.2,tlda,0.3,1
282,sine,-9,0.2,tlda,0.2,2
283,sine,-9,0.2,tlda,0.2,3
284,sine,-9,0.2,tlda,0.25,4
285,sine,-9,0.2,tlda,0.15,5
286,sine,-9,0.2,tlda,0.1,6
287,sine,-9,0.2,tlda,0.3,7
288,sine,-9,0.2,tlda,0.15,8
289,sine,-9,0.2,tlda,0.25,9
290,sine,-9,0.3,tlda,0.05,0
291,sine,-9,0.3,tlda,0.15,1
292,sine,-9,0.3,tlda,0.05,2
293,sine,-9,0.3,tlda,0.1,3
294,sine,-9,0.3,tlda,0.25,4
295,sine,-9,0.3,tlda,0.05,5
296,sine,-9,0.3,tlda,0.1,6
297,sine,-9,0.3,tlda,0.15,7
298,sine,-9,0.3,tlda,0.15,8
299,sine,-9,0.3,tlda,0.15,9
300,sine,-10,0.1,tlda,0.65,0
301,sine,-10,0.1,tlda,0.65,1
302,sine,-10,0.1,tlda,0.65,2
303,sine,-10,0.1,tlda,0.65,3
304,sine,-10,0.1,tlda,0.65,4
305,sine,-10,0.1,tlda,0.8,5
306,sine,-10,0.1,tlda,0.65,6
307,sine,-10,0.1,tlda,0.75,7
308,sine,-10,0.1,tlda,0.7,8
309,sine,-10,0.1,tlda,0.65,9
310,sine,-10,0.2,tlda,0.2,0
311,sine,-10,0.2,tlda,0.3,1
312,sine,-10,0.2,tlda,0.2,2
313,sine,-10,0.2,tlda,0.2,3
314,sine,-10,0.2,tlda,0.25,4
315,sine,-10,0.2,tlda,0.15,5
316,sine,-10,0.2,tlda,0.1,6
317,sine,-10,0.2,tlda,0.25,7
318,sine,-10,0.2,tlda,0.15,8
319,sine,-10,0.2,tlda,0.2,9
320,sine,-10,0.3,tlda,0.05,0
321,sine,-10,0.3,tlda,0.15,1
322,sine,-10,0.3,tlda,0.05,2
323,sine,-10,0.3,tlda,0.1,3
324,sine,-10,0.3,tlda,0.25,4
325,sine,-10,0.3,tlda,0.05,5
326,sine,-10,0.3,tlda,0.1,6
327,sine,-10,0.3,tlda,0.1,7
328,sine,-10,0.3,tlda,0.15,8
329,sine,-10,0.3,tlda,0.1,9
330,sine,-11,0.1,tlda,0.65,0
331,sine,-11,0.1,tlda,0.6,1
332,sine,-11,0.1,tlda,0.65,2
333,sine,-11,0.1,tlda,0.6,3
334,sine,-11,0.1,tlda,0.65,4
335,sine,-11,0.1,tlda,0.8,5
336,sine,-11,0.1,tlda,0.6,6
337,sine,-11,0.1,tlda,0.6,7
338,sine,-11,0.1,tlda,0.5,8
339,sine,-11,0.1,tlda,0.65,9
340,sine,-11,0.2,tlda,0.2,0
341,sine,-11,0.2,tlda,0.25,1
342,sine,-11,0.2,tlda,0.15,2
343,sine,-11,0.2,tlda,0.2,3
